Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
320,299,10,83970.4609375,121,4.169621071437777,-93488.48189705728,-22607083.80769944
321,299,14,19647.255859375,121,3.9611400178658878,-39715.96325774182,-22646799.77095718
322,299,2,87206.734375,121,3.9611400178658878,-43138.3111893804,-22689938.08214656
323,299,11,31879.083984375,121,3.9611400178658878,-257835.65567275556,-22947773.737819314
324,299,1,1553.8232421875,121,3.9611400178658878,-83610.97604597887,-23031384.71386529
325,299,18,148600.515625,121,3.9611400178658878,-44616.153246942005,-23076000.867112234
326,299,4,70020.0078125,121,3.9611400178658878,-96349.61608345764,-23172350.483195692
327,98,0,180774.203125,122,3.9611400178658878,-38860.59887290541,-23211211.082068596
328,12,1,25271.671875,123,3.9611400178658878,307.06159756893203,-23210904.020471025
329,299,0,9226.7568359375,123,3.9611400178658878,-7109.195187394926,-23218013.21565842
330,299,10,63609.95703125,123,3.9611400178658878,9576.964096792384,-23208436.251561627
331,299,27,14312.1787109375,123,3.9611400178658878,-127786.64996686834,-23336222.901528496
332,299,10,107935.9765625,123,3.9611400178658878,-89879.25948206695,-23426102.161010563
333,299,5,75782.6796875,123,3.9611400178658878,4191.5320192060135,-23421910.628991358
334,299,1,12411.7099609375,123,3.9611400178658878,-100864.18236580193,-23522774.81135716
335,299,14,4384.40478515625,123,3.9611400178658878,-170250.55574820327,-23693025.36710536
336,299,30,88961.3515625,123,3.9611400178658878,-1842.8596895912171,-23694868.22679495
337,299,32,31336.578125,123,3.9611400178658878,-1033.8444235367676,-23695902.071218487
338,299,5,58247.70703125,123,3.9611400178658878,-61367.26988295362,-23757269.34110144
