Episode,Epsilon,Instant Reward,Cummulative Reward
374,5.586698368749998,25994.923290401697,8375798.568198899
375,5.586698368749998,26040.32031402543,8401838.888512924
376,5.586698368749998,26381.80351490648,8428220.692027831
377,5.586698368749998,26742.543928846106,8454963.235956678
378,5.586698368749998,25267.51918147231,8480230.755138151
379,5.586698368749998,12536.284134437488,8492767.03927259
380,5.586698368749998,25990.189702494572,8518757.228975084
381,5.586698368749998,25810.055301660137,8544567.284276744
382,5.586698368749998,24817.8088529569,8569385.093129702
383,5.586698368749998,26318.707354621085,8595703.800484324
384,5.586698368749998,11516.022674516942,8607219.823158842
385,5.586698368749998,26139.171481856396,8633358.994640699
386,5.586698368749998,26480.08496039997,8659839.079601098
387,5.586698368749998,26730.990274715237,8686570.069875814
388,5.586698368749998,26434.917240536597,8713004.98711635
389,5.586698368749998,15552.162595797909,8728557.149712147
390,5.586698368749998,25897.26828070413,8754454.41799285
391,5.586698368749998,27113.94791164576,8781568.365904497
392,5.586698368749998,25903.37524462321,8807471.74114912
393,5.586698368749998,5467.603844530731,8812939.34499365
394,5.586698368749998,18945.04156544249,8831884.386559093
395,5.586698368749998,25707.62884118148,8857592.015400276
396,5.586698368749998,26266.069154741308,8883858.084555017
397,5.586698368749998,26362.18730982011,8910220.271864837
398,5.586698368749998,22546.46881133936,8932766.740676176
399,5.586698368749998,13763.472053095986,8946530.212729272
400,5.586698368749998,25721.06205016851,8972251.27477944
401,5.307363450312498,26530.35130565077,8998781.626085091
402,5.307363450312498,25102.939274215354,9023884.565359307
403,5.307363450312498,26379.86112993034,9050264.426489238
404,5.307363450312498,26921.870450298302,9077186.296939537
405,5.307363450312498,26037.45778392654,9103223.754723463
406,5.307363450312498,11444.088345696458,9114667.84306916
407,5.307363450312498,24408.395018118983,9139076.23808728
408,5.307363450312498,26197.486579782635,9165273.724667063
409,5.307363450312498,24931.46654855671,9190205.19121562
410,5.307363450312498,25579.098376069298,9215784.289591689
411,5.307363450312498,26589.91465212075,9242374.204243809
412,5.307363450312498,26193.706738000325,9268567.91098181
413,5.307363450312498,25251.416172704357,9293819.327154513
414,5.307363450312498,24652.287040236144,9318471.614194749
415,5.307363450312498,26296.205448704655,9344767.819643453
416,5.307363450312498,12734.870432851014,9357502.690076305
417,5.307363450312498,25692.080423115975,9383194.770499421
418,5.307363450312498,25688.522440935016,9408883.292940356
419,5.307363450312498,27476.728901105387,9436360.02184146
420,5.307363450312498,26165.356637288078,9462525.378478749
421,5.307363450312498,13495.198875558846,9476020.577354308
422,5.307363450312498,26998.035283852434,9503018.61263816
423,5.307363450312498,16876.957634157137,9519895.570272317
424,5.307363450312498,27660.24821252817,9547555.818484845
425,5.307363450312498,11531.264987587701,9559087.083472433
426,5.307363450312498,26548.98080957002,9585636.064282002
427,5.307363450312498,26574.14429366507,9612210.208575668
428,5.307363450312498,25736.467295861235,9637946.675871529
429,5.307363450312498,25865.623690081207,9663812.29956161
430,5.307363450312498,26625.96053821026,9690438.26009982
431,5.307363450312498,13303.017883227405,9703741.277983049
432,5.307363450312498,15180.327631785742,9718921.605614835
433,5.307363450312498,25217.500585020738,9744139.106199857
434,5.307363450312498,6529.2207242563745,9750668.326924114
435,5.307363450312498,25990.903020534482,9776659.229944648
436,5.307363450312498,26115.208018455774,9802774.437963104
437,5.307363450312498,26076.65098981203,9828851.088952916
438,5.307363450312498,20532.24681538019,9849383.335768295
439,5.307363450312498,26665.33754909938,9876048.673317395
440,5.307363450312498,17946.756534391334,9893995.429851787
441,5.307363450312498,26269.076375446435,9920264.506227234
442,5.307363450312498,10967.78458110106,9931232.290808335
443,5.307363450312498,26303.035895630757,9957535.326703966
444,5.307363450312498,25235.19535967294,9982770.522063639
445,5.307363450312498,26544.157944661994,10009314.680008302
446,5.307363450312498,23357.44813339189,10032672.128141694
447,5.307363450312498,26094.059721573227,10058766.187863266
448,5.307363450312498,14991.43490044384,10073757.62276371
449,5.307363450312498,25395.665255000153,10099153.28801871
450,5.307363450312498,16933.253200636853,10116086.541219348
451,5.041995277796873,25680.419663505312,10141766.960882854
452,5.041995277796873,26006.499792017115,10167773.46067487
453,5.041995277796873,4883.819767474614,10172657.280442346
454,5.041995277796873,24690.810447812575,10197348.090890158
455,5.041995277796873,23462.01032145626,10220810.101211615
456,5.041995277796873,25130.256231522126,10245940.357443137
457,5.041995277796873,19780.239570154135,10265720.597013291
458,5.041995277796873,2707.3267932103463,10268427.923806502
459,5.041995277796873,26136.36497760612,10294564.288784107
460,5.041995277796873,25265.502971801183,10319829.79175591
461,5.041995277796873,25938.817724005487,10345768.609479915
462,5.041995277796873,20492.417153621544,10366261.026633536
463,5.041995277796873,25983.492981609863,10392244.519615145
464,5.041995277796873,25780.857900030376,10418025.377515176
465,5.041995277796873,26339.06671167746,10444364.444226854
466,5.041995277796873,10786.43316184762,10455150.8773887
467,5.041995277796873,25901.221554008644,10481052.09894271
468,5.041995277796873,16760.119844655852,10497812.218787367
469,5.041995277796873,25584.08810359656,10523396.306890963
470,5.041995277796873,25487.07476407188,10548883.381655034
471,5.041995277796873,26135.191056461492,10575018.572711496
472,5.041995277796873,26666.259105533456,10601684.831817029
473,5.041995277796873,26188.107485450524,10627872.93930248
474,5.041995277796873,26754.273199865205,10654627.212502345
475,5.041995277796873,26478.634363550726,10681105.846865896
476,5.041995277796873,24384.463111478042,10705490.309977375
477,5.041995277796873,26157.596597066287,10731647.906574441
478,5.041995277796873,25647.46353196572,10757295.370106407
479,5.041995277796873,26155.482344552707,10783450.85245096
480,5.041995277796873,25979.054302920453,10809429.906753879
481,5.041995277796873,8520.664637145239,10817950.571391024
482,5.041995277796873,26002.58272091485,10843953.154111939
483,5.041995277796873,21792.102898103538,10865745.257010043
484,5.041995277796873,26950.605242763082,10892695.862252805
485,5.041995277796873,10203.838917041563,10902899.701169847
486,5.041995277796873,17826.68826128384,10920726.38943113
487,5.041995277796873,20758.22577899039,10941484.61521012
488,5.041995277796873,25815.626071219474,10967300.24128134
489,5.041995277796873,25578.31884771477,10992878.560129054
490,5.041995277796873,25303.61678092199,11018182.176909976
491,5.041995277796873,25750.90469489703,11043933.081604872
492,5.041995277796873,25405.376662294115,11069338.458267165
493,5.041995277796873,25902.96710610468,11095241.42537327
494,5.041995277796873,26013.264696280105,11121254.690069549
495,5.041995277796873,26098.224178143344,11147352.914247692
496,5.041995277796873,25054.72142022228,11172407.635667915
497,5.041995277796873,22599.090002853525,11195006.725670768
498,5.041995277796873,25383.585539330277,11220390.311210098
499,5.041995277796873,27005.221766144023,11247395.532976242
500,5.041995277796873,25349.519922545867,11272745.052898787
501,4.7898955139070285,26582.168224490677,11299327.221123278
502,4.7898955139070285,25482.1642003141,11324809.385323592
503,4.7898955139070285,25073.114421915936,11349882.499745507
504,4.7898955139070285,26362.2932462581,11376244.792991765
505,4.7898955139070285,16843.90500273235,11393088.697994497
506,4.7898955139070285,26261.675831219138,11419350.373825716
507,4.7898955139070285,25874.69504113031,11445225.068866847
508,4.7898955139070285,26058.251093267234,11471283.319960114
509,4.7898955139070285,25593.366306808282,11496876.686266921
510,4.7898955139070285,14110.418936481192,11510987.105203403
511,4.7898955139070285,26248.051591558014,11537235.156794962
512,4.7898955139070285,26049.980015117533,11563285.13681008
513,4.7898955139070285,26334.854038108522,11589619.990848187
514,4.7898955139070285,26220.367651106924,11615840.358499294
515,4.7898955139070285,23304.818552885525,11639145.17705218
516,4.7898955139070285,3214.6418188049083,11642359.818870984
517,4.7898955139070285,11027.264393906486,11653387.083264891
518,4.7898955139070285,25776.720495707068,11679163.803760597
519,4.7898955139070285,25617.331049556364,11704781.134810153
520,4.7898955139070285,19272.773459581374,11724053.908269735
521,4.7898955139070285,21160.26127408876,11745214.169543823
522,4.7898955139070285,25305.161248307402,11770519.33079213
523,4.7898955139070285,27305.65168043328,11797824.982472565
524,4.7898955139070285,25760.571992620007,11823585.554465186
525,4.7898955139070285,13288.715305773367,11836874.26977096
526,4.7898955139070285,26301.29444848244,11863175.564219441
527,4.7898955139070285,25720.73649330171,11888896.300712744
528,4.7898955139070285,26954.792166655814,11915851.0928794
529,4.7898955139070285,25636.980750320028,11941488.07362972
530,4.7898955139070285,26710.666037335843,11968198.739667056
531,4.7898955139070285,26190.196268593816,11994388.93593565
532,4.7898955139070285,26442.732319902334,12020831.668255553
533,4.7898955139070285,25468.4993892155,12046300.167644769
534,4.7898955139070285,21892.595129293833,12068192.762774063
535,4.7898955139070285,26412.03840730514,12094604.801181369
536,4.7898955139070285,4043.5476679168205,12098648.348849285
537,4.7898955139070285,26572.63969413889,12125220.988543425
538,4.7898955139070285,26438.4067884434,12151659.395331869
539,4.7898955139070285,26275.817154265183,12177935.212486135
540,4.7898955139070285,26451.329815504156,12204386.54230164
541,4.7898955139070285,12890.602971848504,12217277.145273488
542,4.7898955139070285,7093.753681971249,12224370.898955459
543,4.7898955139070285,13507.013541878005,12237877.912497336
544,4.7898955139070285,26419.15085833524,12264297.063355671
545,4.7898955139070285,24518.540651796684,12288815.604007468
