2019-04-13 01:28:25.434549, duration (m), 2.89590473175, ep, 150, epsilon, 3.90139983292, ep_reward, 3499.42435922, total reward, 73334.9237624
2019-04-13 01:30:33.918775, duration (m), 0.347666482131, ep, 151, epsilon, 3.70632984128, ep_reward, -1234.86584225, total reward, 72100.0579202
2019-04-13 01:35:02.990795, duration (m), 2.90955513318, ep, 152, epsilon, 3.70632984128, ep_reward, 4914.68675227, total reward, 77014.7446725
2019-04-13 01:38:26.678515, duration (m), 1.79182461898, ep, 153, epsilon, 3.70632984128, ep_reward, -802.388834627, total reward, 76212.3558378
2019-04-13 01:42:57.590784, duration (m), 2.92383231719, ep, 154, epsilon, 3.70632984128, ep_reward, 3568.87049539, total reward, 79781.2263332
2019-04-13 01:47:27.795796, duration (m), 2.93377088308, ep, 155, epsilon, 3.70632984128, ep_reward, 2056.67642418, total reward, 81837.9027574
2019-04-13 01:49:51.606084, duration (m), 0.789248832067, ep, 156, epsilon, 3.70632984128, ep_reward, -898.911026439, total reward, 80938.991731
2019-04-13 01:54:23.177911, duration (m), 2.91752791802, ep, 157, epsilon, 3.70632984128, ep_reward, 7153.29568578, total reward, 88092.2874167
2019-04-13 01:58:56.290800, duration (m), 2.9198571682, ep, 158, epsilon, 3.70632984128, ep_reward, 1534.22129745, total reward, 89626.5087142
2019-04-13 02:03:27.338242, duration (m), 2.93126913309, ep, 159, epsilon, 3.70632984128, ep_reward, 1685.80237027, total reward, 91312.3110845
2019-04-13 02:07:56.440057, duration (m), 2.92174693346, ep, 160, epsilon, 3.70632984128, ep_reward, 1973.48842196, total reward, 93285.7995064
2019-04-13 02:11:21.238796, duration (m), 1.62604201635, ep, 161, epsilon, 3.52101334921, ep_reward, -1652.46748336, total reward, 91633.3320231
2019-04-13 02:15:49.501225, duration (m), 2.90083646774, ep, 162, epsilon, 3.52101334921, ep_reward, 4550.46708598, total reward, 96183.799109
2019-04-13 02: :18.197332, duration (m), 2.91253086726, ep, 163, epsilon, 3.52101334921, ep_reward, 4279.60901951, total reward, 100463.408129
2019-04-13 02:24:45.758759, duration (m), 2.90763728619, ep, 164, epsilon, 3.52101334921, ep_reward, 2452.50545166, total reward, 102915.91358
2019-04-13 02:27:09.536385, duration (m), 0.818518118064, ep, 165, epsilon, 3.52101334921, ep_reward, -375.081794489, total reward, 102540.831786
2019-04-13 02:31:24.827181, duration (m), 2.67768893242, ep, 166, epsilon, 3.52101334921, ep_reward, 2090.84815117, total reward, 104631.679937
2019-04-13 02:35:55.189636, duration (m), 2.9072780331, ep, 167, epsilon, 3.52101334921, ep_reward, -196.307759093, total reward, 104435.372178
2019-04-13 02:40:24.658993, duration (m), 2.90888508161, ep, 168, epsilon, 3.52101334921, ep_reward, 5183.22310089, total reward, 109618.595279
2019-04-13 02:44:55.550289, duration (m), 2.91325419744, ep, 169, epsilon, 3.52101334921, ep_reward, 6691.5485804, total reward, 116310.143859
2019-04-13 02:49:22.568653, duration (m), 2.90133106709, ep, 170, epsilon, 3.52101334921, ep_reward, 4063.70429637, total reward, 120373.848155
2019-04-13 02:54:04.371333, duration (m), 2.89752349854, ep, 171, epsilon, 3.34496268175, ep_reward, 1816.86904153, total reward, 122190.717197
2019-04-13 02:58:11.076359, duration (m), 2.55647900105, ep, 172, epsilon, 3.34496268175, ep_reward, 667.197343333, total reward, 122857.91454
2019-04-13 03:02:40.363836, duration (m), 2.90002983411, ep, 173, epsilon, 3.34496268175, ep_reward, 1949.84249744, total reward, 124807.757038
2019-04-13 03:07:08.798226, duration (m), 2.8993324995, ep, 174, epsilon, 3.34496268175, ep_reward, 2593.62627083, total reward, 127401.383309
2019-04-13 03:11:41.613510, duration (m), 2.92630018393, ep, 175, epsilon, 3.34496268175, ep_reward, 322.003381745, total reward, 127723.38669
2019-04-13 03:16:14.974741, duration (m), 2.92778979937, ep, 176, epsilon, 3.34496268175, ep_reward, 5414.54970951, total reward, 133137.9364
2019-04-13 03: :48.306765, duration (m), 2.92412619988, ep, 177, epsilon, 3.34496268175, ep_reward, 2887.07064553, total reward, 136025.007045
2019-04-13 03:24:36.742787, duration (m), 2.22379116615, ep, 178, epsilon, 3.34496268175, ep_reward, 1824.15949065, total reward, 137849.166536
2019-04-13 03:27:27.394546, duration (m), 1.25016678174, ep, 179, epsilon, 3.34496268175, ep_reward, 1310.26738356, total reward, 139159.43392
2019-04-13 03:32:01.511620, duration (m), 2.92760891517, ep, 180, epsilon, 3.34496268175, ep_reward, 3013.39568895, total reward, 142172.829609
2019-04-13 03:36:57.105970, duration (m), 2.92444920142, ep, 181, epsilon, 3.17771454767, ep_reward, 608.06720729, total reward, 142780.896816
2019-04-13 03:41:29.782621, duration (m), 2.92447630167, ep, 182, epsilon, 3.17771454767, ep_reward, 3117.05782198, total reward, 145897.954638
2019-04-13 03:44:42.242252, duration (m), 1.59914818207, ep, 183, epsilon, 3.17771454767, ep_reward, 306.878838394, total reward, 146204.833476
2019-04-13 03:49:16.590795, duration (m), 2.93981655041, ep, 184, epsilon, 3.17771454767, ep_reward, 944.789859139, total reward, 147149.623335
2019-04-13 03:51:55.024528, duration (m), 1.03805584908, ep, 185, epsilon, 3.17771454767, ep_reward, 1793.33668157, total reward, 148942.960017
2019-04-13 03:56:26.896580, duration (m), 2.9202325503, ep, 186, epsilon, 3.17771454767, ep_reward, 4896.15708854, total reward, 153839.117105
2019-04-13 04:00:58.267599, duration (m), 2.92644189994, ep, 187, epsilon, 3.17771454767, ep_reward, 2074.60699141, total reward, 155913.724097
2019-04-13 04:05:30.467871, duration (m), 2.92748965025, ep, 188, epsilon, 3.17771454767, ep_reward, 1033.07758326, total reward, 156946.80168
2019-04-13 04:08:43.829760, duration (m), 1.54997171561, ep, 189, epsilon, 3.17771454767, ep_reward, -2684.77402432, total reward, 154262.027656
2019-04-13 04:12:39.984207, duration (m), 2.26464986801, ep, 190, epsilon, 3.17771454767, ep_reward, 626.336621541, total reward, 154888.364277
2019-04-13 04:17:33.464802, duration (m), 2.94718486468, ep, 191, epsilon, 3.01882882028, ep_reward, 3570.76526656, total reward, 158459.129544
2019-04-13 04:22:09.597627, duration (m), 2.95234836737, ep, 192, epsilon, 3.01882882028, ep_reward, 944.744909333, total reward, 159403.874453
2019-04-13 04:26:44.157229, duration (m), 2.94255281687, ep, 193, epsilon, 3.01882882028, ep_reward, 4215.96977047, total reward, 163619.844224
